,label
EPI_ISL_480115,0
EPI_ISL_511119,1
EPI_ISL_428924,0
EPI_ISL_420069,1
EPI_ISL_542717,1
n,1
EPI_ISL_462432,1
EPI_ISL_549905,1
EPI_ISL_544189,1
EPI_ISL_439490,1
EPI_ISL_563313,0
h,1
EPI_ISL_465798,1
EPI_ISL_440859,1
EPI_ISL_564986,1
EPI_ISL_443213,1
EPI_ISL_513877,1
EPI_ISL_495767,1
EPI_ISL_495449,1
EPI_ISL_471698,1
EPI_ISL_450124,1
EPI_ISL_565199,1
EPI_ISL_489138,1
EPI_ISL_461619,0
EPI_ISL_492146,0
EPI_ISL_436856,0
EPI_ISL_536985,0
EPI_ISL_442392,1
EPI_ISL_544932,0
EPI_ISL_441461,1
EPI_ISL_439304,1
EPI_ISL_510440,1
EPI_ISL_542991,1
w,1
EPI_ISL_563546,1
EPI_ISL_467290,1
EPI_ISL_504179,1
EPI_ISL_440492,1
EPI_ISL_511311,1
EPI_ISL_520385,1
EPI_ISL_419802,1
EPI_ISL_466245,1
EPI_ISL_508777,1
EPI_ISL_517306,1
EPI_ISL_544348,1
h,1
EPI_ISL_548407,1
EPI_ISL_534489,1
EPI_ISL_488330,1
EPI_ISL_434227,0
EPI_ISL_520584,1
EPI_ISL_418221,1
EPI_ISL_533343,1
EPI_ISL_495181,1
EPI_ISL_468036,1
EPI_ISL_484323,0
EPI_ISL_555833,1
EPI_ISL_510997,1
EPI_ISL_523224,1
EPI_ISL_532274,1
EPI_ISL_497218,1
EPI_ISL_498778,1
EPI_ISL_485881,1
EPI_ISL_461628,1
EPI_ISL_495829,1
EPI_ISL_454254,0
EPI_ISL_441174,1
EPI_ISL_465117,1
EPI_ISL_501623,0
EPI_ISL_547589,1
EPI_ISL_423845,1
EPI_ISL_523955,1
EPI_ISL_547259,1
EPI_ISL_534706,0
EPI_ISL_510978,1
EPI_ISL_514184,0
EPI_ISL_479420,1
EPI_ISL_462852,1
EPI_ISL_518115,1
h,1
EPI_ISL_547823,1
EPI_ISL_430214,0
EPI_ISL_559990,1
EPI_ISL_426511,0
EPI_ISL_564456,1
EPI_ISL_465569,1
EPI_ISL_521913,0
EPI_ISL_496000,1
EPI_ISL_561294,1
EPI_ISL_532820,1
EPI_ISL_442382,1
EPI_ISL_517336,1
EPI_ISL_487858,1
EPI_ISL_446671,1
EPI_ISL_458649,0
EPI_ISL_566048,1
EPI_ISL_452968,1
EPI_ISL_521711,1
EPI_ISL_472227,1
EPI_ISL_555200,1
EPI_ISL_532494,1
EPI_ISL_489803,1
EPI_ISL_478267,1
EPI_ISL_495313,1
EPI_ISL_484164,0
EPI_ISL_533352,1
EPI_ISL_436728,1
EPI_ISL_543555,1
EPI_ISL_483348,1
EPI_ISL_512945,1
EPI_ISL_479133,1
EPI_ISL_518965,1
EPI_ISL_452255,1
EPI_ISL_462680,1
EPI_ISL_446818,1
EPI_ISL_495420,0
EPI_ISL_510531,1
EPI_ISL_470168,0
EPI_ISL_481711,1
EPI_ISL_496337,1
EPI_ISL_544096,0
EPI_ISL_510793,1
n,1
EPI_ISL_429679,1
EPI_ISL_451101,1
EPI_ISL_510958,1
EPI_ISL_477634,1
EPI_ISL_539450,0
EPI_ISL_444681,1
EPI_ISL_549338,1
EPI_ISL_536086,1
EPI_ISL_513583,0
EPI_ISL_440505,0
EPI_ISL_442527,1
EPI_ISL_494344,1
EPI_ISL_457980,1
EPI_ISL_464658,1
n,0
EPI_ISL_522262,1
EPI_ISL_493948,1
EPI_ISL_418135,0
EPI_ISL_470431,1
EPI_ISL_539547,0
EPI_ISL_563996,1
EPI_ISL_495605,1
EPI_ISL_483654,0
EPI_ISL_558499,1
EPI_ISL_445827,1
EPI_ISL_476732,1
EPI_ISL_420933,1
EPI_ISL_436879,1
EPI_ISL_558457,1
EPI_ISL_463507,1
EPI_ISL_550144,1
EPI_ISL_498466,0
EPI_ISL_520084,1
EPI_ISL_535622,1
EPI_ISL_489479,0
EPI_ISL_516598,1
EPI_ISL_423113,1
n,1
EPI_ISL_447576,1
EPI_ISL_439335,1
EPI_ISL_461146,0
h,1
EPI_ISL_511058,1
EPI_ISL_507647,1
EPI_ISL_446987,1
EPI_ISL_494674,0
EPI_ISL_471405,1
EPI_ISL_418684,0
EPI_ISL_556566,1
EPI_ISL_497458,0
EPI_ISL_448634,1
EPI_ISL_563991,1
EPI_ISL_532759,1
EPI_ISL_536857,0
EPI_ISL_495302,1
EPI_ISL_529975,1
EPI_ISL_559686,1
EPI_ISL_557210,0
EPI_ISL_417701,1
EPI_ISL_469390,0
EPI_ISL_445065,1
EPI_ISL_539992,1
EPI_ISL_479215,1
EPI_ISL_523331,1
n,1
EPI_ISL_511271,1
EPI_ISL_517193,1
EPI_ISL_496320,1
EPI_ISL_567628,1
EPI_ISL_455762,1
EPI_ISL_473271,1
EPI_ISL_565732,1
EPI_ISL_476986,1
EPI_ISL_452706,1
EPI_ISL_545107,1
EPI_ISL_557664,1
EPI_ISL_466142,1
EPI_ISL_494489,1
EPI_ISL_475944,1
EPI_ISL_524992,0
EPI_ISL_438104,1
EPI_ISL_426127,1
EPI_ISL_478475,1
EPI_ISL_414522,1
EPI_ISL_422094,1
EPI_ISL_475972,0
EPI_ISL_431960,0
EPI_ISL_479042,0
EPI_ISL_569156,1
EPI_ISL_424659,1
EPI_ISL_463369,1
EPI_ISL_439128,1
EPI_ISL_459412,0
EPI_ISL_475329,0
EPI_ISL_445214,1
EPI_ISL_452136,1
EPI_ISL_462191,1
EPI_ISL_527371,1
EPI_ISL_478203,1
EPI_ISL_480877,1
EPI_ISL_444781,1
EPI_ISL_450345,1
EPI_ISL_566682,1
EPI_ISL_425236,1
EPI_ISL_496742,1
EPI_ISL_492262,0
EPI_ISL_555458,0
EPI_ISL_490100,1
EPI_ISL_567993,1
EPI_ISL_490514,1
EPI_ISL_458416,1
EPI_ISL_534813,0
EPI_ISL_496228,1
EPI_ISL_558103,1
EPI_ISL_542438,1
EPI_ISL_562645,1
EPI_ISL_447926,0
EPI_ISL_543083,0
EPI_ISL_460726,1
EPI_ISL_447287,1
EPI_ISL_486385,1
EPI_ISL_433941,1
EPI_ISL_522067,1
EPI_ISL_455763,1
EPI_ISL_459265,1
EPI_ISL_545643,1
EPI_ISL_541365,1
EPI_ISL_450539,1
EPI_ISL_492545,1
w,1
EPI_ISL_494512,1
EPI_ISL_458214,1
EPI_ISL_557442,1
EPI_ISL_469532,1
EPI_ISL_458264,1
EPI_ISL_413457,1
EPI_ISL_554470,1
EPI_ISL_496025,1
n,0
EPI_ISL_537355,1
EPI_ISL_536501,1
EPI_ISL_492355,1
EPI_ISL_516352,0
EPI_ISL_446118,1
EPI_ISL_541641,1
EPI_ISL_441337,1
EPI_ISL_530887,1
EPI_ISL_553527,1
EPI_ISL_565143,0
EPI_ISL_438111,0
EPI_ISL_454988,1
EPI_ISL_546509,1
EPI_ISL_483345,0
EPI_ISL_457097,1
EPI_ISL_559536,0
EPI_ISL_549367,1
EPI_ISL_520339,0
EPI_ISL_540398,1
EPI_ISL_441909,1
EPI_ISL_542193,1
EPI_ISL_569697,1
EPI_ISL_428873,1
EPI_ISL_479412,0
EPI_ISL_467308,1
EPI_ISL_437518,0
EPI_ISL_443996,0
EPI_ISL_442066,1
EPI_ISL_492301,1
EPI_ISL_543173,0
EPI_ISL_463367,1
EPI_ISL_538814,1
EPI_ISL_461487,1
EPI_ISL_543244,1
EPI_ISL_487249,1
EPI_ISL_418732,1
EPI_ISL_565039,1
EPI_ISL_469496,1
n,1
EPI_ISL_565045,1
EPI_ISL_538351,0
EPI_ISL_422783,1
EPI_ISL_448236,1
EPI_ISL_555260,1
EPI_ISL_518826,1
EPI_ISL_558444,1
EPI_ISL_540838,1
EPI_ISL_486399,1
EPI_ISL_449580,1
EPI_ISL_481607,1
EPI_ISL_523901,1
EPI_ISL_514448,1
EPI_ISL_494470,1
EPI_ISL_563490,1
EPI_ISL_494224,1
EPI_ISL_496919,1
EPI_ISL_421925,1
EPI_ISL_555891,0
EPI_ISL_523388,1
EPI_ISL_485058,1
EPI_ISL_486150,1
EPI_ISL_464966,1
EPI_ISL_556244,1
EPI_ISL_423649,1
EPI_ISL_550803,0
EPI_ISL_481064,1
EPI_ISL_535755,0
EPI_ISL_418047,1
EPI_ISL_517924,1
EPI_ISL_517367,1
EPI_ISL_559232,1
EPI_ISL_568283,1
EPI_ISL_520221,0
EPI_ISL_565594,1
EPI_ISL_419895,1
EPI_ISL_417826,1
EPI_ISL_521425,1
EPI_ISL_444926,1
EPI_ISL_487761,1
EPI_ISL_554422,1
EPI_ISL_551888,0
EPI_ISL_553347,1
EPI_ISL_454511,1
EPI_ISL_451562,1
EPI_ISL_549451,1
EPI_ISL_432780,1
EPI_ISL_432263,1
EPI_ISL_561590,1
EPI_ISL_538893,1
EPI_ISL_495213,1
EPI_ISL_460903,1
EPI_ISL_497152,0
EPI_ISL_550128,1
EPI_ISL_566028,1
EPI_ISL_420539,1
EPI_ISL_541174,1
EPI_ISL_554180,1
EPI_ISL_462399,1
EPI_ISL_539446,1
EPI_ISL_425173,1
EPI_ISL_534987,1
EPI_ISL_563343,1
EPI_ISL_419302,1
EPI_ISL_542172,1
EPI_ISL_465517,1
EPI_ISL_435601,1
EPI_ISL_546804,1
EPI_ISL_538017,1
EPI_ISL_535806,1
EPI_ISL_561013,1
EPI_ISL_422334,1
EPI_ISL_545982,1
EPI_ISL_428342,1
EPI_ISL_518618,0
EPI_ISL_551259,1
EPI_ISL_519953,0
EPI_ISL_549470,0
EPI_ISL_519694,1
EPI_ISL_446811,1
EPI_ISL_538015,1
EPI_ISL_568534,1
EPI_ISL_488605,1
EPI_ISL_563454,1
EPI_ISL_494187,1
EPI_ISL_567757,1
EPI_ISL_520402,1
EPI_ISL_511941,0
EPI_ISL_489056,1
EPI_ISL_497873,1
EPI_ISL_550778,1
EPI_ISL_552929,0
EPI_ISL_463345,1
EPI_ISL_514226,1
EPI_ISL_443476,1
EPI_ISL_545559,1
EPI_ISL_417067,1
EPI_ISL_519203,0
EPI_ISL_459886,1
EPI_ISL_470120,1
EPI_ISL_461703,0
EPI_ISL_429689,0
EPI_ISL_427657,1
i,1
EPI_ISL_547819,1
EPI_ISL_560861,1
EPI_ISL_449841,1
EPI_ISL_443826,1
EPI_ISL_456698,1
EPI_ISL_422725,1
EPI_ISL_439070,1
EPI_ISL_557012,1
EPI_ISL_463921,1
EPI_ISL_508161,1
EPI_ISL_547244,1
EPI_ISL_480846,1
EPI_ISL_566164,1
EPI_ISL_539218,0
n,1
EPI_ISL_495606,0
EPI_ISL_428898,1
EPI_ISL_460873,1
EPI_ISL_445280,1
EPI_ISL_536489,1
EPI_ISL_463455,1
EPI_ISL_538821,1
EPI_ISL_457543,1
h,1
EPI_ISL_484839,1
EPI_ISL_469025,1
EPI_ISL_444725,1
EPI_ISL_561179,1
EPI_ISL_558315,1
n,1
h,1
EPI_ISL_447324,1
EPI_ISL_555389,1
EPI_ISL_562001,1
EPI_ISL_507218,1
EPI_ISL_566124,0
EPI_ISL_522614,0
EPI_ISL_426310,1
EPI_ISL_525270,1
EPI_ISL_563527,0
EPI_ISL_435694,1
EPI_ISL_469802,1
EPI_ISL_447531,1
EPI_ISL_527862,1
EPI_ISL_562899,1
EPI_ISL_441647,1
EPI_ISL_492979,1
EPI_ISL_522968,1
EPI_ISL_548233,1
EPI_ISL_550214,1
EPI_ISL_429564,1
EPI_ISL_460468,1
EPI_ISL_467611,0
EPI_ISL_436201,1
EPI_ISL_453448,1
EPI_ISL_554003,1
EPI_ISL_466867,1
EPI_ISL_483834,0
EPI_ISL_445479,1
EPI_ISL_512553,0
EPI_ISL_480906,1
EPI_ISL_532633,1
EPI_ISL_557224,1
EPI_ISL_541461,1
EPI_ISL_563976,1
EPI_ISL_495031,1
EPI_ISL_548985,0
EPI_ISL_420556,1
EPI_ISL_527836,1
EPI_ISL_539911,1
EPI_ISL_525665,1
EPI_ISL_459278,1
EPI_ISL_482583,1
EPI_ISL_469427,1
EPI_ISL_469232,1
EPI_ISL_529519,1
EPI_ISL_475284,1
EPI_ISL_485713,1
EPI_ISL_556754,0
EPI_ISL_509073,1
EPI_ISL_484277,1
EPI_ISL_527542,1
EPI_ISL_534388,1
EPI_ISL_447059,0
EPI_ISL_479827,1
EPI_ISL_433541,1
EPI_ISL_439559,1
EPI_ISL_479772,1
EPI_ISL_479959,0
EPI_ISL_491928,1
EPI_ISL_458640,1
EPI_ISL_443630,0
EPI_ISL_423998,1
EPI_ISL_563504,1
EPI_ISL_425599,1
EPI_ISL_530501,1
EPI_ISL_565785,1
EPI_ISL_521719,0
EPI_ISL_558626,1
EPI_ISL_416591,1
EPI_ISL_507906,0
EPI_ISL_472523,1
EPI_ISL_450484,0
EPI_ISL_518096,1
EPI_ISL_500588,1
EPI_ISL_433492,1
EPI_ISL_455603,1
EPI_ISL_465871,1
EPI_ISL_438080,1
EPI_ISL_461678,1
EPI_ISL_471857,1
EPI_ISL_523784,1
EPI_ISL_422397,1
EPI_ISL_433991,1
EPI_ISL_554249,1
EPI_ISL_538826,1
EPI_ISL_539666,1
EPI_ISL_453951,1
EPI_ISL_510436,1
EPI_ISL_440027,1
EPI_ISL_566402,0
EPI_ISL_494414,1
EPI_ISL_466492,0
EPI_ISL_445290,1
EPI_ISL_453821,1
EPI_ISL_521962,1
EPI_ISL_470130,1
EPI_ISL_547954,1
EPI_ISL_458036,1
EPI_ISL_509444,1
EPI_ISL_539032,1
EPI_ISL_555473,1
EPI_ISL_552933,1
EPI_ISL_551276,1
EPI_ISL_565567,0
EPI_ISL_429975,1
EPI_ISL_559437,1
EPI_ISL_440766,1
EPI_ISL_427631,1
EPI_ISL_468940,1
EPI_ISL_458753,1
EPI_ISL_549366,1
EPI_ISL_450456,1
EPI_ISL_500545,1
EPI_ISL_523903,0
EPI_ISL_496180,1
h,1
EPI_ISL_419400,1
EPI_ISL_528243,1
EPI_ISL_466434,0
EPI_ISL_421375,0
EPI_ISL_455004,1
EPI_ISL_513472,0
EPI_ISL_477085,1
EPI_ISL_472368,1
EPI_ISL_495307,1
EPI_ISL_528198,1
EPI_ISL_555374,1
EPI_ISL_481984,1
EPI_ISL_524778,1
EPI_ISL_496879,1
EPI_ISL_465574,1
EPI_ISL_500529,1
EPI_ISL_432267,1
EPI_ISL_444180,1
EPI_ISL_550697,1
EPI_ISL_433154,1
EPI_ISL_563314,1
EPI_ISL_554324,1
EPI_ISL_558224,1
EPI_ISL_557265,1
EPI_ISL_432327,1
EPI_ISL_443585,1
EPI_ISL_482168,0
EPI_ISL_533422,1
EPI_ISL_519741,1
EPI_ISL_563845,0
EPI_ISL_564904,1
EPI_ISL_559969,1
EPI_ISL_443759,1
EPI_ISL_562953,1
EPI_ISL_494229,0
EPI_ISL_551719,1
EPI_ISL_484751,0
EPI_ISL_500119,1
EPI_ISL_441525,1
EPI_ISL_561364,1
EPI_ISL_445697,1
EPI_ISL_434072,1
EPI_ISL_525777,1
EPI_ISL_566971,0
EPI_ISL_554495,1
EPI_ISL_511463,1
EPI_ISL_422218,1
EPI_ISL_566954,1
EPI_ISL_452663,0
EPI_ISL_458864,1
EPI_ISL_417021,1
EPI_ISL_524384,1
EPI_ISL_549541,1
EPI_ISL_535767,1
EPI_ISL_568451,1
n,1
EPI_ISL_496302,1
EPI_ISL_430067,1
EPI_ISL_472874,1
EPI_ISL_513502,0
EPI_ISL_560269,1
EPI_ISL_473873,1
EPI_ISL_434473,1
EPI_ISL_509461,1
EPI_ISL_521826,1
EPI_ISL_545451,1
EPI_ISL_451106,1
EPI_ISL_513492,1
h,1
EPI_ISL_456469,1
EPI_ISL_550503,1
EPI_ISL_454794,1
EPI_ISL_527654,1
EPI_ISL_438279,1
EPI_ISL_473952,1
EPI_ISL_513021,1
EPI_ISL_465454,1
EPI_ISL_544510,1
EPI_ISL_529918,1
EPI_ISL_553698,1
EPI_ISL_466623,1
EPI_ISL_452872,0
EPI_ISL_567379,1
EPI_ISL_544136,1
EPI_ISL_513343,1
EPI_ISL_546980,1
EPI_ISL_485179,1
EPI_ISL_535025,1
EPI_ISL_497160,1
EPI_ISL_455998,1
EPI_ISL_523518,1
EPI_ISL_496743,1
EPI_ISL_438405,0
EPI_ISL_479410,1
EPI_ISL_423964,0
EPI_ISL_492237,1
EPI_ISL_430567,1
EPI_ISL_500350,1
EPI_ISL_470190,1
EPI_ISL_453163,1
EPI_ISL_420191,1
EPI_ISL_454476,1
EPI_ISL_562979,1
EPI_ISL_456574,1
EPI_ISL_473998,1
EPI_ISL_446149,1
a,1
EPI_ISL_492307,1
EPI_ISL_417356,1
EPI_ISL_443187,1
EPI_ISL_551812,1
EPI_ISL_517879,0
EPI_ISL_553234,1
EPI_ISL_466844,1
EPI_ISL_538437,1
EPI_ISL_523920,1
EPI_ISL_494719,1
EPI_ISL_469008,1
EPI_ISL_552086,1
EPI_ISL_501249,1
EPI_ISL_421789,1
EPI_ISL_452855,1
w,1
EPI_ISL_531749,0
EPI_ISL_443029,0
EPI_ISL_456820,1
EPI_ISL_525610,1
EPI_ISL_424449,1
EPI_ISL_545028,1
EPI_ISL_491070,1
EPI_ISL_560699,1
EPI_ISL_439560,1
EPI_ISL_444522,1
EPI_ISL_421242,1
EPI_ISL_546826,1
EPI_ISL_521648,1
EPI_ISL_438511,1
EPI_ISL_440354,1
EPI_ISL_527566,1
EPI_ISL_432789,1
EPI_ISL_567459,1
EPI_ISL_533059,1
EPI_ISL_439228,1
EPI_ISL_466541,1
EPI_ISL_511640,0
EPI_ISL_567747,1
EPI_ISL_472687,1
EPI_ISL_537679,1
EPI_ISL_508866,0
EPI_ISL_552302,1
EPI_ISL_554807,0
EPI_ISL_555979,1
EPI_ISL_477843,1
EPI_ISL_507125,1
EPI_ISL_489910,1
EPI_ISL_531109,1
EPI_ISL_446188,1
EPI_ISL_481079,1
EPI_ISL_460267,0
EPI_ISL_533032,1
EPI_ISL_473848,1
EPI_ISL_551791,1
EPI_ISL_495578,1
EPI_ISL_454032,1
EPI_ISL_558601,0
w,1
EPI_ISL_451190,1
EPI_ISL_417264,0
EPI_ISL_517039,1
EPI_ISL_553288,0
h,1
EPI_ISL_463332,1
EPI_ISL_492437,1
EPI_ISL_500006,1
EPI_ISL_453260,0
EPI_ISL_561471,1
EPI_ISL_554233,1
EPI_ISL_420567,1
EPI_ISL_548587,1
EPI_ISL_522348,0
EPI_ISL_435714,1
n,1
EPI_ISL_495186,1
EPI_ISL_560928,1
EPI_ISL_537372,0
EPI_ISL_469962,1
EPI_ISL_451138,1
EPI_ISL_530525,0
EPI_ISL_567544,1
n,1
EPI_ISL_542232,1
EPI_ISL_445359,1
EPI_ISL_432318,1
EPI_ISL_508863,1
EPI_ISL_421333,1
EPI_ISL_449617,1
EPI_ISL_451777,1
EPI_ISL_496719,1
EPI_ISL_532923,1
EPI_ISL_529926,1
EPI_ISL_566150,1
EPI_ISL_566307,1
EPI_ISL_532523,0
EPI_ISL_567381,1
EPI_ISL_425465,1
EPI_ISL_552690,0
EPI_ISL_519836,1
EPI_ISL_496235,1
EPI_ISL_471648,1
EPI_ISL_521798,0
EPI_ISL_481792,1
n,1
EPI_ISL_475358,1
EPI_ISL_538500,1
EPI_ISL_539001,1
EPI_ISL_562734,1
EPI_ISL_448523,1
EPI_ISL_557386,1
EPI_ISL_416442,1
EPI_ISL_426533,1
EPI_ISL_499924,1
